ID,HoKhauID,QuanHe,HoTen,NgaySinh,GioiTinh,NoiSinh,NguyenQuan,DanToc,TonGiao,NgheNghiep,CMND
29,132,Chồng,Michael Powers,1988-04-28,0,United Kingdom,West Sandraside,Kinh,0,Làm ruộng,123459278
30,139,Bố,Darren Tucker,2004-03-03,1,Reunion,New Toni,Kinh,0,Làm ruộng,123459530
31,334,Chồng,Elizabeth Mathews,1994-05-12,1,Gambia,North Scott,Kinh,0,Làm ruộng,123458211
32,123,Mẹ,Heidi Franklin,1999-06-05,0,Congo,Lake Amberfort,Kinh,0,Làm ruộng,123459194
33,18,Con gái,Jennifer Conner,2015-01-14,1,Timor-Leste,West Michaelstad,Kinh,0,Làm ruộng,123463078
34,111,Vợ,Sarah Garcia,1977-12-06,0,Cameroon,Port Melindaberg,Kinh,0,Làm ruộng,123461892
35,153,Con trai,Heather Thomas,1976-04-30,1,Lebanon,Bryanberg,Thái,0,Làm ruộng,123459348
36,176,Bố,Roger Hardin,2015-10-04,0,Uzbekistan,South Trevorberg,Kinh,0,Làm ruộng,123461522
37,81,Con gái,Amy Gibson,1978-12-14,0,Swaziland,Oliviastad,Kinh,0,Làm ruộng,123462072
38,307,Vợ,Pamela Morgan,1981-12-03,0,Mauritania,North Martinland,Kinh,0,Làm ruộng,123460732
39,42,Mẹ,Peter Wright,2000-09-09,0,Niger,Lake Stephaniemouth,Kinh,0,Làm ruộng,123461436
40,11,Vợ,Evelyn Singh,1995-01-08,1,Cook Islands,East Stacyton,Kinh,0,Làm ruộng,123460841
41,391,Chồng,Jody Flores,1977-10-02,0,Australia,Codyside,Kinh,0,Làm ruộng,123462055
42,392,Chồng,Kevin Ray,1988-12-14,0,Macao,Williamston,Kinh,0,Làm ruộng,123461679
43,72,Con trai,Rebecca Armstrong,2002-11-22,0,Wallis and Futuna,South Timothy,Kinh,0,Nhân viên kinh doanh,123461835
44,338,Con trai,Teresa Abbott,1990-03-10,1,South Georgia and the South Sandwich Islands,Smithchester,Kinh,0,Làm ruộng,123462064
45,217,Mẹ,Ronald Franklin,1975-03-23,1,Gabon,Port Eric,Kinh,0,Làm ruộng,123458603
46,367,Mẹ,April Carter,2014-12-18,0,Iceland,Kevinfurt,Kinh,0,Làm ruộng,123460641
47,5,Vợ,Donald Williams,2014-12-25,1,Netherlands,Christopherborough,Kinh,0,Làm ruộng,123459044
48,278,Mẹ,William Hatfield,2015-02-28,1,Trinidad and Tobago,Port Jennifer,Kinh,0,Làm ruộng,123462999
49,198,Chồng,Alvin Martin,1976-04-10,0,Congo,Lake Carolynton,Kinh,0,Làm ruộng,123460374
50,76,Con trai,Travis Galloway,1984-11-24,0,Latvia,Rebeccastad,Kinh,0,Giáo viên,123459471
51,338,Con trai,Connie Lopez,2009-01-19,0,Israel,Brownmouth,Kinh,0,Giáo viên,123460718
52,136,Mẹ,Allison Mueller,1975-04-22,1,Mozambique,New Justinberg,Kinh,0,Làm ruộng,123462864
53,321,Vợ,Ashley Nelson,1990-12-29,0,Tanzania,Larsonfort,Kinh,0,Làm ruộng,123461644
54,111,Mẹ,Alicia Jones,1993-02-08,0,Luxembourg,North Tommymouth,Tày,0,Làm ruộng,123461352
55,281,Con trai,Jason Moreno,2010-11-10,0,Gabon,South Julie,Kinh,0,Giáo viên,123459254
56,16,Con trai,Eric Campbell,2004-06-28,0,Congo,Gibsonburgh,Kinh,0,Làm ruộng,123461670
57,150,Vợ,Matthew Adams,1994-03-19,1,Kuwait,North Linda,Kinh,0,Làm ruộng,123462813
58,213,Con gái,Dennis Cooper,2000-10-07,0,Saint Helena,Torreschester,Kinh,0,Làm ruộng,123462501
59,393,Con gái,Joseph Gray,1995-08-30,0,Equatorial Guinea,North Joseph,Kinh,0,Làm ruộng,123458939
60,192,Con trai,Raymond Griffin,1992-03-26,0,Saudi Arabia,Cookfurt,Kinh,0,Làm ruộng,123462829
61,14,Vợ,Matthew Shaw,1993-12-21,0,Solomon Islands,Lozanoton,Kinh,0,Làm ruộng,123462559
62,312,Vợ,Alexander Cook,2011-04-28,1,Algeria,New Joshuaport,Tày,0,Làm ruộng,123459389
63,79,Bố,Lawrence Glover,1977-06-14,0,Norfolk Island,Margaretburgh,Kinh,0,Giáo viên,123458694
64,335,Con trai,Jose Jenkins,1985-04-23,1,American Samoa,Garciamouth,Kinh,0,Làm ruộng,123458521
65,117,Con trai,Lee Price,2009-08-10,1,Bulgaria,Port Andrewburgh,Kinh,0,Giáo viên,123458179
66,385,Vợ,Melody Collins,1985-03-19,1,Mauritius,Clintonhaven,Kinh,0,Làm ruộng,123463191
67,65,Con gái,Heather Hobbs,2006-09-01,0,Botswana,Amyside,Thái,0,Làm ruộng,123458466
68,262,Bố,Denise Wood,2000-09-29,0,Argentina,New Matthew,Kinh,1,Làm ruộng,123462131
69,347,Chồng,James Martinez,1975-02-05,0,Marshall Islands,Johnsonburgh,Kinh,0,Làm ruộng,123463026
70,384,Vợ,Tracy Olsen,1995-11-19,1,India,Debraside,Kinh,0,Làm ruộng,123461537
71,316,Con gái,Richard Perez,2012-07-22,0,Russian Federation,West Ambermouth,Kinh,1,Giáo viên,123461794
72,400,Bố,Jessica Snyder,2010-09-22,0,Kyrgyz Republic,South Heatherhaven,Kinh,0,Làm ruộng,123459978
73,3,Mẹ,Seth Bullock,2007-07-14,1,Peru,Cartertown,Kinh,0,Làm ruộng,123458243
74,388,Bố,Jason Hunter,2009-06-05,1,Tajikistan,Donnafurt,Kinh,0,Làm ruộng,123461013
75,239,Chồng,Garrett Davis,2012-08-17,1,Italy,North Briana,Kinh,0,Làm ruộng,123458499
76,135,Mẹ,Sierra Hart,2001-11-08,0,Spain,South Michaelbury,Kinh,0,Làm ruộng,123461900
77,246,Chồng,Denise Ramos,2010-06-30,0,Canada,Nicolefort,Kinh,0,Làm ruộng,123461641
78,283,Chồng,Erik Garrison,1975-12-19,0,Anguilla,Lisamouth,Ê-đê,0,Làm ruộng,123462913
79,73,Con trai,Daniel Cabrera,2015-08-10,0,Iran,South Elizabethview,Kinh,0,Nhân viên kinh doanh,123460000
80,232,Mẹ,Steven Shelton,1982-09-05,0,Bhutan,Lake Richard,Kinh,0,Làm ruộng,123459699
81,129,Vợ,Stephanie Woodward,1986-02-09,1,Jamaica,Bryanhaven,Ê-đê,1,Làm ruộng,123462152
82,236,Chồng,Brent Bush,1999-05-17,1,Nicaragua,Lake Josephstad,Kinh,0,Làm ruộng,123459125
83,333,Con gái,Sherry Nolan,1984-11-24,0,Egypt,Oscarstad,Kinh,0,Làm ruộng,123461863
84,42,Con trai,Michael Jimenez,1982-10-07,1,Spain,Marissastad,Kinh,0,Làm ruộng,123458471
85,225,Con trai,Christopher Taylor,1991-06-03,0,Guyana,Frankside,Kinh,0,Làm ruộng,123458418
86,89,Bố,Amber Benitez,2000-06-11,1,Mali,East Victoriachester,Kinh,0,Làm ruộng,123458462
87,231,Mẹ,Scott Johnson,1981-08-08,0,Lebanon,Robertsshire,Kinh,0,Làm ruộng,123461989
88,165,Mẹ,Jessica Nicholson,2001-05-28,0,Greenland,North Jonathanburgh,Kinh,0,Làm ruộng,123458425
89,366,Chồng,Charles Collins,1984-05-31,1,Senegal,East Alison,Kinh,0,Kỹ sư,123459233
90,288,Chồng,Michael Rubio,2006-09-28,0,Puerto Rico,Grossfort,Tày,0,Làm ruộng,123462317
91,226,Con gái,Harold Miller,2003-06-27,1,Tuvalu,Louishaven,Kinh,0,Làm ruộng,123458757
92,142,Bố,Sherri Howard,2001-07-24,0,Congo,Port Edward,Kinh,0,Giáo viên,123461026
93,149,Bố,Manuel Brown,1995-04-04,0,Mauritania,Martinezview,Kinh,0,Bác sĩ,123461446
94,127,Mẹ,Amanda Wilkins,1993-04-21,1,Cayman Islands,South Elizabeth,Kinh,1,Làm ruộng,123460380
95,299,Vợ,Nicole Cooke,1985-08-17,0,Andorra,East Ashleyville,Kinh,0,Bác sĩ,123458825
96,314,Con trai,Matthew Riley,1996-05-10,0,Suriname,Angelatown,Kinh,0,Làm ruộng,123459038
97,33,Mẹ,Dylan Coleman,1990-05-21,0,Tuvalu,South Lori,Kinh,0,Làm ruộng,123462683
98,124,Vợ,Kristen Roberson,2011-04-08,0,Palestinian Territory,Jacobborough,Kinh,0,Làm ruộng,123459262
99,132,Vợ,Frank Moyer,1987-06-17,0,Colombia,South Brandon,Kinh,0,Giáo viên,123461390
100,203,Chồng,John Smith,2009-12-02,0,Gibraltar,South Jamesmouth,Kinh,0,Làm ruộng,123461401
101,298,Mẹ,Angela Larsen,2008-01-22,0,Macedonia,Stevenberg,Kinh,0,Làm ruộng,123460176
102,387,Con trai,Janet Ferguson,1980-01-22,0,Cyprus,Jenniferfort,Kinh,0,Giáo viên,123463170
103,377,Con gái,Andrea Moody,2005-05-16,0,Antigua and Barbuda,Andrewfurt,Kinh,0,Làm ruộng,123463097
104,91,Con gái,Monica Hughes,1975-10-07,1,Lesotho,Connerbury,Kinh,0,Làm ruộng,123458999
105,251,Vợ,Tamara Miller,1988-02-08,1,Liechtenstein,New Michael,Kinh,0,Giáo viên,123462195
106,117,Bố,Robin Richmond,1983-03-28,0,South Africa,New Samuel,Ê-đê,0,Làm ruộng,123461582
107,226,Chồng,John Cole,2001-07-18,1,Grenada,Port Donald,Kinh,0,Giáo viên,123461109
108,301,Vợ,James Todd,1987-02-03,0,Turkmenistan,Normanhaven,Kinh,0,Làm ruộng,123462877
109,361,Chồng,Mark Branch,1996-03-20,1,Dominican Republic,Jamesport,Tày,0,Làm ruộng,123462025
110,280,Con gái,Donna Li,1982-04-24,0,Senegal,Loriton,Kinh,0,Giáo viên,123458941
111,273,Bố,Tina Steele,1987-05-09,1,Qatar,Port Stephenton,Kinh,0,Làm ruộng,123461024
112,201,Mẹ,Casey Dean,1981-08-18,0,Fiji,Rebeccaberg,Kinh,0,Làm ruộng,123461538
113,175,Mẹ,Misty Brewer,1997-01-05,0,Gibraltar,Lake Anna,Kinh,0,Làm ruộng,123460152
114,156,Mẹ,Shannon Hudson,1983-02-18,0,Norway,East Lawrencechester,Ê-đê,0,Làm ruộng,123459141
115,301,Mẹ,Mary Morales,2013-02-16,1,Faroe Islands,Smallton,Kinh,0,Làm ruộng,123461999
116,130,Mẹ,Jacob Tran,2012-03-21,0,Cayman Islands,New Tony,Kinh,0,Làm ruộng,123462862
117,346,Con gái,Stephen Lee,1984-02-14,0,Haiti,Ariasmouth,Kinh,0,Bác sĩ,123463097
118,248,Con gái,Joseph Davis,1977-07-05,1,Burundi,Staceymouth,Kinh,0,Làm ruộng,123463156
119,375,Vợ,Mary Garcia,2014-08-27,0,Tajikistan,Murphyburgh,Kinh,0,Làm ruộng,123459034
120,161,Vợ,Paul Frye,1991-12-25,0,Armenia,Turnerburgh,Kinh,0,Làm ruộng,123463085
121,55,Con gái,Lindsay Hansen,2012-09-05,1,Sri Lanka,West Johnmouth,Kinh,1,Làm ruộng,123459151
122,396,Vợ,Michael Cunningham,2004-01-03,0,Eritrea,Brittanyton,Ê-đê,0,Làm ruộng,123461399
123,161,Bố,Alexis Murphy,1985-04-15,1,British Indian Ocean Territory (Chagos Archipelago),New Jessica,Kinh,0,Làm ruộng,123460978
124,197,Bố,Amber Hamilton,1975-02-08,0,Gambia,Russellview,Ê-đê,0,Làm ruộng,123460041
125,106,Mẹ,Pamela Johnson,1996-02-29,0,Ecuador,Gregoryfort,Kinh,0,Làm ruộng,123460850
126,36,Con trai,Kayla Daugherty,1979-02-27,1,Guadeloupe,South Anneside,Kinh,1,Làm ruộng,123458687
127,7,Mẹ,Daniel Fields,1990-01-18,0,Turkmenistan,Lake Coleland,Ê-đê,0,Làm ruộng,123458663
128,36,Bố,Ryan Miller,2013-06-12,1,Slovenia,Cooperchester,Kinh,0,Giáo viên,123458496
129,397,Bố,Karen Nguyen,2007-11-19,0,Chile,Lindamouth,Kinh,0,Làm ruộng,123462178
130,326,Con gái,Brian Anderson,1994-04-19,1,Anguilla,West Christopherstad,Kinh,0,Làm ruộng,123462040
131,77,Con trai,Edward Allen,2015-06-01,1,Malawi,Port Waynefurt,Kinh,0,Làm ruộng,123460510
132,283,Vợ,Patrick Douglas,1991-08-22,0,Palestinian Territory,New Leah,Kinh,0,Làm ruộng,123459138
133,126,Mẹ,Joshua Cuevas,2008-02-25,0,Vietnam,New Hailey,Kinh,0,Làm ruộng,123459799
134,285,Vợ,Jennifer King,1995-11-22,0,Palestinian Territory,Jackfort,Kinh,1,Làm ruộng,123459903
135,193,Vợ,Lee Peck,2001-07-10,1,Serbia,Richardstad,Kinh,1,Làm ruộng,123459626
136,170,Vợ,Jason Spears,1985-12-12,1,Vanuatu,South Jennifershire,Kinh,0,Làm ruộng,123459399
137,57,Con trai,Robert Bell,2003-10-26,1,Macedonia,Richardsonfort,Kinh,0,Làm ruộng,123462487
138,45,Con trai,Kim Davis,2003-06-23,0,Niger,Lake Jennifer,Kinh,0,Giáo viên,123458649
139,223,Con trai,Patrick Meyer,1999-08-14,0,Austria,Port Kathrynchester,Kinh,0,Làm ruộng,123461909
140,317,Vợ,Kathryn Mills,1981-05-27,0,Palau,West Virginia,Kinh,0,Làm ruộng,123460419
141,100,Con gái,Randy Macdonald,1996-02-03,1,Latvia,Shannonmouth,Kinh,0,Làm ruộng,123461393
142,145,Bố,Krista Mcmahon,1999-03-05,1,Eritrea,Lake Micheletown,Kinh,0,Làm ruộng,123459291
143,375,Con trai,Alejandro Flynn,1988-10-20,1,Ecuador,Jennabury,Kinh,0,Giáo viên,123461091
144,330,Con trai,Amber James,2008-08-29,1,Venezuela,Burnettside,Kinh,0,Làm ruộng,123461552
145,151,Bố,James Sanchez,1990-12-09,0,United Kingdom,North Amy,Thái,0,Làm ruộng,123459198
146,53,Bố,Sophia Rogers,2015-02-06,1,Oman,Phillipsbury,Kinh,0,Nhân viên kinh doanh,123460137
147,274,Con gái,Matthew Miller,2015-01-19,0,British Virgin Islands,Chavezborough,Kinh,0,Làm ruộng,123462766
148,283,Bố,Larry Clark,1989-07-08,1,Moldova,East Sandrafurt,Kinh,0,Làm ruộng,123459229
149,371,Mẹ,Megan Baker,1979-03-08,0,Finland,New Andrewhaven,Kinh,0,Làm ruộng,123459125
150,178,Mẹ,Valerie Conway,2014-08-23,0,Comoros,North Jerryburgh,Kinh,0,Làm ruộng,123460192
151,398,Con gái,Elizabeth Jones,2001-06-17,1,Tajikistan,Kristinbury,Kinh,0,Làm ruộng,123459219
152,221,Bố,Kenneth Torres,1998-09-12,1,Guernsey,Wayneburgh,Kinh,0,Làm ruộng,123460974
153,187,Chồng,Felicia Mcclain,1981-11-17,0,Ghana,East Joybury,Kinh,0,Giáo viên,123461303
154,204,Con gái,Andrew Griffin,1987-03-04,1,Faroe Islands,East Tonyaview,Kinh,0,Làm ruộng,123462097
155,295,Vợ,Christopher Pham,2007-01-26,0,Japan,Derekshire,Kinh,0,Giáo viên,123459012
156,298,Con gái,Kimberly Andrews,2014-04-20,1,Iraq,Andreaside,Kinh,0,Làm ruộng,123458815
157,320,Chồng,Sarah Cook,1986-11-02,0,Peru,North Chad,Kinh,1,Làm ruộng,123461421
158,270,Chồng,Zachary Rogers,1995-10-17,1,Aruba,Lake Lauren,Kinh,1,Làm ruộng,123460094
159,361,Vợ,Walter Morgan,2004-08-18,1,Sudan,West Jeffreyfort,Kinh,1,Làm ruộng,123460852
160,279,Bố,Mark Martin,2012-09-27,0,Antarctica (the territory South of 60 deg S),West Robert,Kinh,0,Làm ruộng,123459544
161,157,Bố,Amanda Nichols,1988-02-08,1,Morocco,New Christine,Kinh,0,Giáo viên,123462428
162,104,Con trai,Allen Robinson,1983-12-09,0,Lesotho,East Andrew,Kinh,0,Làm ruộng,123461869
163,307,Chồng,William Joseph,1982-03-11,1,British Indian Ocean Territory (Chagos Archipelago),North Eric,Kinh,0,Giáo viên,123459851
164,374,Con gái,Alexander Jackson,1980-09-16,1,Mongolia,South Ricardo,Kinh,0,Kỹ sư,123460449
165,27,Chồng,Holly Warren,2000-05-04,0,Tuvalu,Toniville,Kinh,0,Làm ruộng,123460039
166,102,Con trai,Sean Horton,1975-06-11,1,Slovakia (Slovak Republic),Port Leslie,Kinh,0,Làm ruộng,123458668
167,178,Bố,Marilyn Melton,1979-01-06,1,Sao Tome and Principe,West Leechester,Kinh,0,Kỹ sư,123459177
168,249,Con trai,Barry Owens,2015-11-30,1,Ireland,West Cameron,Tày,0,Làm ruộng,123460455
169,95,Chồng,Marc Maxwell,2003-01-02,0,Guyana,Woodmouth,Kinh,1,Làm ruộng,123459548
170,97,Chồng,Stephanie Mathis,1975-07-18,0,Brunei Darussalam,South Johnny,Kinh,0,Làm ruộng,123461518
171,195,Con gái,Blake Stephenson,1977-11-24,0,Austria,Lake Marcusmouth,Kinh,0,Làm ruộng,123459677
172,16,Bố,Jason Singh,2006-09-10,0,Macao,Joshuaburgh,Kinh,0,Kỹ sư,123459283
173,217,Vợ,Michael Villegas,1982-05-09,1,Barbados,West John,Kinh,0,Làm ruộng,123462655
174,147,Mẹ,David Gilbert,1996-12-15,0,Montserrat,West Amanda,Kinh,0,Làm ruộng,123460528
175,266,Mẹ,Denise Wood,1985-11-11,1,Guinea-Bissau,Barrytown,Kinh,0,Làm ruộng,123460466
176,243,Con trai,Kevin Bolton,1985-07-17,0,Chile,Vaughanstad,Kinh,0,Làm ruộng,123460214
177,134,Con gái,Jimmy Stevens,2012-11-11,1,Sao Tome and Principe,Jacksonmouth,Kinh,0,Làm ruộng,123458911
178,224,Mẹ,Donald Kelley,1976-10-19,0,Egypt,New Monica,Kinh,0,Làm ruộng,123460574
179,280,Con gái,Daniel Walters,1996-04-15,0,Switzerland,Morganberg,Tày,0,Làm ruộng,123458710
180,283,Con trai,Jason Blair,1990-01-02,0,Western Sahara,West Michaelmouth,Kinh,0,Giáo viên,123459653
181,117,Bố,Tina Snyder,1978-10-09,1,Australia,South Jill,Kinh,0,Làm ruộng,123461701
182,66,Vợ,Sara Wheeler,1975-05-13,1,Guyana,Cruzmouth,Kinh,0,Làm ruộng,123462965
183,336,Mẹ,John Webb,2007-12-14,0,Tanzania,Port Nicolemouth,Kinh,0,Làm ruộng,123458471
184,7,Vợ,Christopher Dean,1988-01-28,1,Liberia,Maryfurt,Kinh,0,Làm ruộng,123458707
185,156,Vợ,Lance Spencer,1999-11-12,0,Palestinian Territory,Port Wendy,Kinh,0,Làm ruộng,123459157
186,121,Bố,Jessica Robles,1980-04-06,1,Ukraine,Johnfort,Kinh,0,Làm ruộng,123461325
187,27,Vợ,Pamela Hardin,1984-06-07,1,Cocos (Keeling) Islands,Rickeyshire,Kinh,0,Làm ruộng,123461549
188,98,Con trai,Erika Drake,1978-04-12,1,Timor-Leste,North Carlosshire,Kinh,0,Giáo viên,123461978
189,394,Chồng,Paige Fitzgerald,2003-05-01,0,Mauritius,South Pamela,Thái,0,Làm ruộng,123462667
190,186,Bố,Kyle Webb,1987-02-16,0,Marshall Islands,North Emmaberg,Kinh,0,Làm ruộng,123461963
191,307,Chồng,Sherry Roberts,2014-11-22,0,Uganda,Lake Tylerfurt,Tày,0,Giáo viên,123459783
192,219,Vợ,Joseph Kennedy,1980-05-31,0,Comoros,Woodsmouth,Kinh,0,Làm ruộng,123458958
193,161,Chồng,Suzanne Mccullough,1987-09-14,1,Jordan,Ramoshaven,Kinh,0,Làm ruộng,123461907
194,91,Mẹ,Sylvia Adams,1988-08-25,0,Belarus,Foxmouth,Ê-đê,0,Làm ruộng,123458870
195,106,Mẹ,Christina Martinez,2003-09-06,0,Malta,South Ravenberg,Kinh,0,Làm ruộng,123459948
196,66,Mẹ,David Anderson,2008-05-09,1,Grenada,Johnmouth,Kinh,0,Làm ruộng,123459606
197,61,Chồng,David Foster,1986-10-01,0,Afghanistan,Alexanderhaven,Kinh,0,Giáo viên,123458895
198,332,Con trai,Casey Miles,2015-09-05,1,Cook Islands,East Brandon,Kinh,0,Làm ruộng,123463005
199,389,Mẹ,Howard Rodriguez,1975-06-02,0,Micronesia,Port George,Thái,0,Kỹ sư,123462630
200,125,Mẹ,Aaron Jacobs,2011-03-08,1,Lithuania,Mccoyshire,Kinh,0,Bác sĩ,123460278
201,267,Con trai,Jennifer Hill,1985-04-29,1,Venezuela,South Raymond,Thái,0,Làm ruộng,123462920
202,364,Con trai,Phillip Villarreal,1991-10-21,1,Qatar,Davisbury,Kinh,0,Làm ruộng,123462137
203,191,Vợ,Andrea Morris,1987-11-14,0,British Indian Ocean Territory (Chagos Archipelago),Anthonyfort,Kinh,0,Làm ruộng,123462168
204,163,Bố,Gabrielle Mendez,2012-05-21,0,Reunion,West Williammouth,Kinh,0,Kỹ sư,123459413
205,325,Chồng,Nathaniel Hill,2005-01-06,0,Fiji,West Karenfort,Kinh,0,Làm ruộng,123459549
206,39,Vợ,Donald Moore,2002-01-17,0,Barbados,New Michelle,Kinh,0,Làm ruộng,123460083
207,221,Con trai,Daniel Rodgers,1994-07-19,1,Croatia,Annland,Kinh,1,Làm ruộng,123461896
208,366,Con trai,John Walsh,2010-07-29,1,Mexico,Flemingview,Kinh,0,Làm ruộng,123459089
209,236,Bố,Scott Richardson,2006-01-15,1,Nicaragua,Tylershire,Kinh,0,Làm ruộng,123459326
210,68,Con gái,Jeffery Holland,2014-12-21,0,Venezuela,West Billy,Kinh,0,Làm ruộng,123461881
211,269,Bố,Michele Hanna,2002-02-16,0,Suriname,Brentfort,Kinh,0,Giáo viên,123460977
212,275,Bố,Richard Anderson,1997-11-30,0,Peru,Richardfurt,Kinh,0,Giáo viên,123463091
213,65,Con trai,Laura Thomas,1977-05-17,0,Mexico,North Kathleenside,Kinh,0,Làm ruộng,123458222
214,137,Con gái,Bonnie Flores,1995-07-16,0,Armenia,Port Nicholas,Kinh,0,Làm ruộng,123459743
215,83,Con trai,Alicia Tran,1992-04-26,0,Pakistan,Pricehaven,Kinh,0,Làm ruộng,123460477
216,366,Vợ,Karen Davis,1984-12-29,0,Pitcairn Islands,Denisebury,Kinh,0,Làm ruộng,123460972
217,318,Bố,Amanda Richards,1998-05-29,0,Congo,South Stephanieberg,Tày,0,Làm ruộng,123459876
218,378,Con trai,Sarah Robinson,1978-11-24,0,Vanuatu,Cunninghamfort,Thái,0,Giáo viên,123462177
219,125,Vợ,Julia Bailey,2011-06-24,1,South Africa,Larrybury,Kinh,0,Làm ruộng,123459156
220,280,Con trai,Leslie Zamora,1977-01-11,1,New Zealand,New Aaron,Kinh,0,Làm ruộng,123460595
221,311,Mẹ,Thomas Knox,2010-11-11,0,Ghana,East Rachel,Kinh,0,Làm ruộng,123460875
222,119,Con gái,Lisa Cohen,2010-06-27,1,Cocos (Keeling) Islands,North Sarah,Kinh,0,Làm ruộng,123460494
223,199,Con gái,Teresa Baker,1998-10-30,1,Trinidad and Tobago,Nortonchester,Kinh,0,Làm ruộng,123462777
224,107,Bố,Jason Valdez,1979-09-26,1,Guadeloupe,East Valeriestad,Kinh,0,Làm ruộng,123459686
225,186,Con trai,Tara Anderson,2009-08-24,1,Antarctica (the territory South of 60 deg S),West Markview,Kinh,0,Làm ruộng,123458403
226,361,Vợ,Daniel Aguilar,1975-02-06,0,Moldova,South Dale,Kinh,0,Làm ruộng,123462027
227,56,Chồng,Robert Burns,1987-11-11,0,Saint Lucia,North Jessicamouth,Kinh,0,Làm ruộng,123459367
228,40,Con trai,Anthony Davis,1980-10-04,1,Ethiopia,Lake Danielfurt,Thái,0,Làm ruộng,123458776
229,354,Bố,Patricia Ritter,1995-12-21,1,Yemen,West Michael,Kinh,0,Làm ruộng,123461372
230,54,Chồng,Nicole Lutz,1990-11-09,0,Hungary,North Staceyborough,Kinh,0,Làm ruộng,123462039
231,256,Con gái,Heather Harris,2010-02-23,0,Palestinian Territory,Mariaton,Kinh,0,Làm ruộng,123461531
232,276,Bố,Elizabeth Roberts,1989-04-30,1,South Africa,Ortizville,Kinh,0,Làm ruộng,123458138
233,38,Con trai,Jonathon Conrad,1982-02-03,1,Antarctica (the territory South of 60 deg S),Luisshire,Kinh,0,Làm ruộng,123462834
234,153,Con gái,Frank King,1982-09-27,1,Bosnia and Herzegovina,West Pamela,Kinh,0,Làm ruộng,123461906
235,62,Con trai,Roberto Kennedy,1977-08-17,1,Guernsey,Collierstad,Kinh,0,Làm ruộng,123461748
